"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"United States of America","2012","Total","Both Sexes","Bellevue (WA)","City proper","Estimate - de jure","Final figure, complete","2014","126439","1,2"
"United States of America","2012","Total","Both Sexes","Berkeley (CA)","City proper","Estimate - de jure","Final figure, complete","2014","115403","1,2"
"United States of America","2012","Total","Both Sexes","Billings (MT)","City proper","Estimate - de jure","Final figure, complete","2014","106954","1,2"
"United States of America","2012","Total","Both Sexes","Birmingham (AL)","City proper","Estimate - de jure","Final figure, complete","2014","212038","1,2"
"United States of America","2012","Total","Both Sexes","Boise City (ID)","City proper","Estimate - de jure","Final figure, complete","2014","212303","1,2"
"United States of America","2012","Total","Both Sexes","Boston (MA)","City proper","Estimate - de jure","Final figure, complete","2014","636479","1,2"
"United States of America","2012","Total","Both Sexes","Boulder (CO)","City proper","Estimate - de jure","Final figure, complete","2014","101808","1,2"
"United States of America","2012","Total","Both Sexes","Bridgeport (CT)","City proper","Estimate - de jure","Final figure, complete","2014","146425","1,2"
"United States of America","2012","Total","Both Sexes","Brownsville (TX)","City proper","Estimate - de jure","Final figure, complete","2014","180097","1,2"
"United States of America","2012","Total","Both Sexes","Buffalo (NY)","City proper","Estimate - de jure","Final figure, complete","2014","259384","1,2"
"United States of America","2012","Total","Both Sexes","Burbank (CA)","City proper","Estimate - de jure","Final figure, complete","2014","104391","1,2"
"United States of America","2012","Total","Both Sexes","Carlsbad (CA)","City proper","Estimate - de jure","Final figure, complete","2014","109318","1,2"
"United States of America","2012","Total","Both Sexes","Cambridge (MA)","City proper","Estimate - de jure","Final figure, complete","2014","106471","1,2"
"United States of America","2012","Total","Both Sexes","Cape Coral (FL)","City proper","Estimate - de jure","Final figure, complete","2014","161248","1,2"
"United States of America","2012","Total","Both Sexes","Carrollton (TX)","City proper","Estimate - de jure","Final figure, complete","2014","125409","1,2"
"United States of America","2012","Total","Both Sexes","Cary (NC)","City proper","Estimate - de jure","Final figure, complete","2014","145693","1,2"
"United States of America","2012","Total","Both Sexes","Cedar Rapids (IA)","City proper","Estimate - de jure","Final figure, complete","2014","128119","1,2"
"United States of America","2012","Total","Both Sexes","Centennial (CO)","City proper","Estimate - de jure","Final figure, complete","2014","103743","1,2"
"United States of America","2012","Total","Both Sexes","Chandler (AZ)","City proper","Estimate - de jure","Final figure, complete","2014","245628","1,2"
"United States of America","2012","Total","Both Sexes","Charleston (SC)","City proper","Estimate - de jure","Final figure, complete","2014","125583","1,2"
"United States of America","2012","Total","Both Sexes","Charlotte (NC)","City proper","Estimate - de jure","Final figure, complete","2014","775202","1,2"
"United States of America","2012","Total","Both Sexes","Chattanooga (TN)","City proper","Estimate - de jure","Final figure, complete","2014","171279","1,2"
"United States of America","2012","Total","Both Sexes","Chesapeake (VA)","City proper","Estimate - de jure","Final figure, complete","2014","228417","1,2"
"United States of America","2012","Total","Both Sexes","Chicago (IL)","City proper","Estimate - de jure","Final figure, complete","2014","2714856","1,2"
"United States of America","2012","Total","Both Sexes","Chula Vista (CA)","City proper","Estimate - de jure","Final figure, complete","2014","252422","1,2"
"United States of America","2012","Total","Both Sexes","Cincinnati (OH)","City proper","Estimate - de jure","Final figure, complete","2014","296550","1,2"
"United States of America","2012","Total","Both Sexes","Clarksville (TN)","City proper","Estimate - de jure","Final figure, complete","2014","142519","1,2"
"United States of America","2012","Total","Both Sexes","Clearwater (FL)","City proper","Estimate - de jure","Final figure, complete","2014","108732","1,2"
"United States of America","2012","Total","Both Sexes","Cleveland (OH)","City proper","Estimate - de jure","Final figure, complete","2014","390928","1,2"
"United States of America","2012","Total","Both Sexes","Colorado Springs (CO)","City proper","Estimate - de jure","Final figure, complete","2014","431834","1,2"
"United States of America","2012","Total","Both Sexes","Columbia (MO)","City proper","Estimate - de jure","Final figure, complete","2014","113225","1,2"
"United States of America","2012","Total","Both Sexes","Columbia (SC)","City proper","Estimate - de jure","Final figure, complete","2014","131686","1,2"
"United States of America","2012","Total","Both Sexes","Columbus (GA)","City proper","Estimate - de jure","Final figure, complete","2014","198413","1,2"
"United States of America","2012","Total","Both Sexes","Columbus (OH)","City proper","Estimate - de jure","Final figure, complete","2014","809798","1,2"
"United States of America","2012","Total","Both Sexes","Concord (CA)","City proper","Estimate - de jure","Final figure, complete","2014","124711","1,2"
"United States of America","2012","Total","Both Sexes","Coral Springs (FL)","City proper","Estimate - de jure","Final figure, complete","2014","125287","1,2"
"United States of America","2012","Total","Both Sexes","Corona (CA)","City proper","Estimate - de jure","Final figure, complete","2014","158391","1,2"
"United States of America","2012","Total","Both Sexes","Corpus Christi (TX)","City proper","Estimate - de jure","Final figure, complete","2014","312195","1,2"
"United States of America","2012","Total","Both Sexes","Costa Mesa (CA)","City proper","Estimate - de jure","Final figure, complete","2014","111918","1,2"
"United States of America","2012","Total","Both Sexes","Dallas (TX)","City proper","Estimate - de jure","Final figure, complete","2014","1241162","1,2"
"United States of America","2012","Total","Both Sexes","Daly City (CA)","City proper","Estimate - de jure","Final figure, complete","2014","103690","1,2"
"United States of America","2012","Total","Both Sexes","Davenport (IA)","City proper","Estimate - de jure","Final figure, complete","2014","101363","1,2"
"United States of America","2012","Total","Both Sexes","Dayton (OH)","City proper","Estimate - de jure","Final figure, complete","2014","141359","1,2"
"United States of America","2012","Total","Both Sexes","Denton (TX)","City proper","Estimate - de jure","Final figure, complete","2014","121123","1,2"
"United States of America","2012","Total","Both Sexes","Denver (CO)","City proper","Estimate - de jure","Final figure, complete","2014","634265","1,2"
"United States of America","2012","Total","Both Sexes","Des Moines (IA)","City proper","Estimate - de jure","Final figure, complete","2014","206688","1,2"
"United States of America","2012","Total","Both Sexes","Detroit (MI)","City proper","Estimate - de jure","Final figure, complete","2014","701475","1,2"
"United States of America","2012","Total","Both Sexes","Downey (CA)","City proper","Estimate - de jure","Final figure, complete","2014","112873","1,2"
"United States of America","2012","Total","Both Sexes","Durham (NC)","City proper","Estimate - de jure","Final figure, complete","2014","239358","1,2"
"United States of America","2012","Total","Both Sexes","El Monte (CA)","City proper","Estimate - de jure","Final figure, complete","2014","115111","1,2"
"United States of America","2012","Total","Both Sexes","El Paso (TX)","City proper","Estimate - de jure","Final figure, complete","2014","672538","1,2"
"United States of America","2012","Total","Both Sexes","Elgin (IL)","City proper","Estimate - de jure","Final figure, complete","2014","109927","1,2"
"United States of America","2012","Total","Both Sexes","Elizabeth (NJ)","City proper","Estimate - de jure","Final figure, complete","2014","126458","1,2"
"United States of America","2012","Total","Both Sexes","Elk Grove (CA)","City proper","Estimate - de jure","Final figure, complete","2014","159038","1,2"
"United States of America","2012","Total","Both Sexes","Erie (PA)","City proper","Estimate - de jure","Final figure, complete","2014","101047","1,2"
"United States of America","2012","Total","Both Sexes","Escondido (CA)","City proper","Estimate - de jure","Final figure, complete","2014","147575","1,2"
"United States of America","2012","Total","Both Sexes","Eugene (OR)","City proper","Estimate - de jure","Final figure, complete","2014","157986","1,2"
"United States of America","2012","Total","Both Sexes","Evansville (IN)","City proper","Estimate - de jure","Final figure, complete","2014","120235","1,2"
"United States of America","2012","Total","Both Sexes","Everett (WA)","City proper","Estimate - de jure","Final figure, complete","2014","104655","1,2"
"United States of America","2012","Total","Both Sexes","Fairfield (CA)","City proper","Estimate - de jure","Final figure, complete","2014","107684","1,2"
"United States of America","2012","Total","Both Sexes","Fargo (ND)","City proper","Estimate - de jure","Final figure, complete","2014","109779","1,2"
"United States of America","2012","Total","Both Sexes","Fayetteville (NC)","City proper","Estimate - de jure","Final figure, complete","2014","202103","1,2"
"United States of America","2012","Total","Both Sexes","Flint (MI)","City proper","Estimate - de jure","Final figure, complete","2014","100515","1,2"
"United States of America","2012","Total","Both Sexes","Fontana (CA)","City proper","Estimate - de jure","Final figure, complete","2014","201812","1,2"
"United States of America","2012","Total","Both Sexes","Fort Collins (CO)","City proper","Estimate - de jure","Final figure, complete","2014","148612","1,2"
"United States of America","2012","Total","Both Sexes","Fort Lauderdale (FL)","City proper","Estimate - de jure","Final figure, complete","2014","170747","1,2"
"United States of America","2012","Total","Both Sexes","Fort Wayne (IN)","City proper","Estimate - de jure","Final figure, complete","2014","254555","1,2"
"United States of America","2012","Total","Both Sexes","Fort Worth (TX)","City proper","Estimate - de jure","Final figure, complete","2014","777992","1,2"
"United States of America","2012","Total","Both Sexes","Fremont (CA)","City proper","Estimate - de jure","Final figure, complete","2014","221986","1,2"
"United States of America","2012","Total","Both Sexes","Fresno (CA)","City proper","Estimate - de jure","Final figure, complete","2014","505882","1,2"
"United States of America","2012","Total","Both Sexes","Frisco (TX)","City proper","Estimate - de jure","Final figure, complete","2014","128176","1,2"
"United States of America","2012","Total","Both Sexes","Fullerton (CA)","City proper","Estimate - de jure","Final figure, complete","2014","138574","1,2"
"United States of America","2012","Total","Both Sexes","Gainesville (FL)","City proper","Estimate - de jure","Final figure, complete","2014","126047","1,2"
"United States of America","2012","Total","Both Sexes","Garden Grove (CA)","City proper","Estimate - de jure","Final figure, complete","2014","174389","1,2"
"United States of America","2012","Total","Both Sexes","Garland (TX)","City proper","Estimate - de jure","Final figure, complete","2014","233564","1,2"
"United States of America","2012","Total","Both Sexes","Gilbert (AZ)","City proper","Estimate - de jure","Final figure, complete","2014","221140","1,2"
"United States of America","2012","Total","Both Sexes","Glendale (AZ)","City proper","Estimate - de jure","Final figure, complete","2014","232143","1,2"
"United States of America","2012","Total","Both Sexes","Glendale (CA)","City proper","Estimate - de jure","Final figure, complete","2014","194478","1,2"
"United States of America","2012","Total","Both Sexes","Grand Prairie (TX)","City proper","Estimate - de jure","Final figure, complete","2014","181824","1,2"
"United States of America","2012","Total","Both Sexes","Grand Rapids (MI)","City proper","Estimate - de jure","Final figure, complete","2014","190411","1,2"
"United States of America","2012","Total","Both Sexes","Green Bay (WI)","City proper","Estimate - de jure","Final figure, complete","2014","104868","1,2"
"United States of America","2012","Total","Both Sexes","Greensboro (NC)","City proper","Estimate - de jure","Final figure, complete","2014","277080","1,2"
"United States of America","2012","Total","Both Sexes","Gresham (OR)","City proper","Estimate - de jure","Final figure, complete","2014","108956","1,2"
"United States of America","2012","Total","Both Sexes","Hampton (VA)","City proper","Estimate - de jure","Final figure, complete","2014","136836","1,2"
"United States of America","2012","Total","Both Sexes","Hartford (CT)","City proper","Estimate - de jure","Final figure, complete","2014","124893","1,2"
"United States of America","2012","Total","Both Sexes","Hayward (CA)","City proper","Estimate - de jure","Final figure, complete","2014","149392","1,2"
"United States of America","2012","Total","Both Sexes","Henderson (NV)","City proper","Estimate - de jure","Final figure, complete","2014","265679","1,2"
"United States of America","2012","Total","Both Sexes","Hialeah (FL)","City proper","Estimate - de jure","Final figure, complete","2014","231941","1,2"
"United States of America","2012","Total","Both Sexes","High Point City (NC)","City proper","Estimate - de jure","Final figure, complete","2014","106586","1,2"
"United States of America","2012","Total","Both Sexes","Hollywood (FL)","City proper","Estimate - de jure","Final figure, complete","2014","145236","1,2"
"United States of America","2012","Total","Both Sexes","Urban Honolulu (HI)","City proper","Estimate - de jure","Final figure, complete","2014","345610","1,2"
"United States of America","2012","Total","Both Sexes","Houston (TX)","City proper","Estimate - de jure","Final figure, complete","2014","2160821","1,2"
"United States of America","2012","Total","Both Sexes","Huntington Beach (CA)","City proper","Estimate - de jure","Final figure, complete","2014","194708","1,2"
"United States of America","2012","Total","Both Sexes","Huntsville (AL)","City proper","Estimate - de jure","Final figure, complete","2014","183739","1,2"
"United States of America","2012","Total","Both Sexes","Independence (MO)","City proper","Estimate - de jure","Final figure, complete","2014","117270","1,2"
"United States of America","2012","Total","Both Sexes","Indianapolis (IN)","City proper","Estimate - de jure","Final figure, complete","2014","834852","1,2"
"United States of America","2012","Total","Both Sexes","Inglewood (CA)","City proper","Estimate - de jure","Final figure, complete","2014","111182","1,2"
"United States of America","2012","Total","Both Sexes","Irvine (CA)","City proper","Estimate - de jure","Final figure, complete","2014","229985","1,2"
"United States of America","2012","Total","Both Sexes","Irving (TX)","City proper","Estimate - de jure","Final figure, complete","2014","225427","1,2"
"United States of America","2012","Total","Both Sexes","Jackson (MS)","City proper","Estimate - de jure","Final figure, complete","2014","175437","1,2"
"United States of America","2012","Total","Both Sexes","Jacksonville (FL)","City proper","Estimate - de jure","Final figure, complete","2014","836507","1,2"
"United States of America","2012","Total","Both Sexes","Jersey City (NJ)","City proper","Estimate - de jure","Final figure, complete","2014","254441","1,2"
"United States of America","2012","Total","Both Sexes","Joliet (IL)","City proper","Estimate - de jure","Final figure, complete","2014","148268","1,2"
"United States of America","2012","Total","Both Sexes","Kansas City (KS)","City proper","Estimate - de jure","Final figure, complete","2014","147268","1,2"
"United States of America","2012","Total","Both Sexes","Kansas City (MO)","City proper","Estimate - de jure","Final figure, complete","2014","464310","1,2"
"United States of America","2012","Total","Both Sexes","Killeen (TX)","City proper","Estimate - de jure","Final figure, complete","2014","134654","1,2"
"United States of America","2012","Total","Both Sexes","Knoxville (TN)","City proper","Estimate - de jure","Final figure, complete","2014","182200","1,2"
"United States of America","2012","Total","Both Sexes","Lafayette (LA)","City proper","Estimate - de jure","Final figure, complete","2014","122761","1,2"
"United States of America","2012","Total","Both Sexes","Lakewood (CO)","City proper","Estimate - de jure","Final figure, complete","2014","145516","1,2"
"United States of America","2012","Total","Both Sexes","Lancaster (CA)","City proper","Estimate - de jure","Final figure, complete","2014","159055","1,2"
"United States of America","2012","Total","Both Sexes","Lansing (MI)","City proper","Estimate - de jure","Final figure, complete","2014","113996","1,2"
"United States of America","2012","Total","Both Sexes","Laredo (TX)","City proper","Estimate - de jure","Final figure, complete","2014","244731","1,2"
"United States of America","2012","Total","Both Sexes","Las Vegas (NV)","City proper","Estimate - de jure","Final figure, complete","2014","596424","1,2"
"United States of America","2012","Total","Both Sexes","Lexington-Fayette (KY)","City proper","Estimate - de jure","Final figure, complete","2014","305489","1,2"
"United States of America","2012","Total","Both Sexes","Lincoln (NE)","City proper","Estimate - de jure","Final figure, complete","2014","265404","1,2"
"United States of America","2012","Total","Both Sexes","Little Rock (AR)","City proper","Estimate - de jure","Final figure, complete","2014","196537","1,2"
"United States of America","2012","Total","Both Sexes","Long Beach (CA)","City proper","Estimate - de jure","Final figure, complete","2014","467892","1,2"
"United States of America","2012","Total","Both Sexes","Los Angeles (CA)","City proper","Estimate - de jure","Final figure, complete","2014","3857799","1,2"
"United States of America","2012","Total","Both Sexes","Louisville (KY)","City proper","Estimate - de jure","Final figure, complete","2014","605110","1,2"
"United States of America","2012","Total","Both Sexes","Lowell (MA)","City proper","Estimate - de jure","Final figure, complete","2014","108522","1,2"
"United States of America","2012","Total","Both Sexes","Lubbock (TX)","City proper","Estimate - de jure","Final figure, complete","2014","236065","1,2"
"United States of America","2012","Total","Both Sexes","Madison (WI)","City proper","Estimate - de jure","Final figure, complete","2014","240323","1,2"
"United States of America","2012","Total","Both Sexes","Manchester (NH)","City proper","Estimate - de jure","Final figure, complete","2014","110209","1,2"
"United States of America","2012","Total","Both Sexes","McAllen (TX)","City proper","Estimate - de jure","Final figure, complete","2014","134719","1,2"
"United States of America","2012","Total","Both Sexes","McKinney City (TX)","City proper","Estimate - de jure","Final figure, complete","2014","143223","1,2"
"United States of America","2012","Total","Both Sexes","Memphis (TN)","City proper","Estimate - de jure","Final figure, complete","2014","655155","1,2"
"United States of America","2012","Total","Both Sexes","Mesa (AZ)","City proper","Estimate - de jure","Final figure, complete","2014","452084","1,2"
"United States of America","2012","Total","Both Sexes","Mesquite (TX)","City proper","Estimate - de jure","Final figure, complete","2014","143195","1,2"
"United States of America","2012","Total","Both Sexes","Miami (FL)","City proper","Estimate - de jure","Final figure, complete","2014","413892","1,2"
"United States of America","2012","Total","Both Sexes","Miami Gardens (FL)","City proper","Estimate - de jure","Final figure, complete","2014","110754","1,2"
"United States of America","2012","Total","Both Sexes","Midland City (TX)","City proper","Estimate - de jure","Final figure, complete","2014","119385","1,2"
"United States of America","2012","Total","Both Sexes","Milwaukee (WI)","City proper","Estimate - de jure","Final figure, complete","2014","598916","1,2"
"United States of America","2012","Total","Both Sexes","Minneapolis (MN)","City proper","Estimate - de jure","Final figure, complete","2014","392880","1,2"
"United States of America","2012","Total","Both Sexes","Miramar (FL)","City proper","Estimate - de jure","Final figure, complete","2014","128729","1,2"
"United States of America","2012","Total","Both Sexes","Mobile (AL)","City proper","Estimate - de jure","Final figure, complete","2014","194822","1,2"
"United States of America","2012","Total","Both Sexes","Modesto (CA)","City proper","Estimate - de jure","Final figure, complete","2014","203547","1,2"
"United States of America","2012","Total","Both Sexes","Montgomery (AL)","City proper","Estimate - de jure","Final figure, complete","2014","205293","1,2"
"United States of America","2012","Total","Both Sexes","Moreno Valley (CA)","City proper","Estimate - de jure","Final figure, complete","2014","199552","1,2"
"United States of America","2012","Total","Both Sexes","Murrieta (CA)","City proper","Estimate - de jure","Final figure, complete","2014","106810","1,2"
"United States of America","2012","Total","Both Sexes","Murfreesboro (TN)","City proper","Estimate - de jure","Final figure, complete","2014","114038","1,2"
"United States of America","2012","Total","Both Sexes","Naperville (IL)","City proper","Estimate - de jure","Final figure, complete","2014","143684","1,2"
"United States of America","2012","Total","Both Sexes","Nashville-Davidson (TN)","City proper","Estimate - de jure","Final figure, complete","2014","624496","1,2"
"United States of America","2012","Total","Both Sexes","New Haven (CT)","City proper","Estimate - de jure","Final figure, complete","2014","130741","1,2"
"United States of America","2012","Total","Both Sexes","New Orleans (LA)","City proper","Estimate - de jure","Final figure, complete","2014","369250","1,2"
"United States of America","2012","Total","Both Sexes","New York (NY)","City proper","Estimate - de jure","Final figure, complete","2014","8336697","1,2"
"United States of America","2012","Total","Both Sexes","Newark (NJ)","City proper","Estimate - de jure","Final figure, complete","2014","277727","1,2"
"United States of America","2012","Total","Both Sexes","Newport News (VA)","City proper","Estimate - de jure","Final figure, complete","2014","180726","1,2"
"United States of America","2012","Total","Both Sexes","Norfolk (VA)","City proper","Estimate - de jure","Final figure, complete","2014","245782","1,2"
"United States of America","2012","Total","Both Sexes","Norman (OK)","City proper","Estimate - de jure","Final figure, complete","2014","115562","1,2"
"United States of America","2012","Total","Both Sexes","North Charleston (SC)","City proper","Estimate - de jure","Final figure, complete","2014","101989","1,2"
"United States of America","2012","Total","Both Sexes","North Las Vegas (NV)","City proper","Estimate - de jure","Final figure, complete","2014","223491","1,2"
"United States of America","2012","Total","Both Sexes","Norwalk (CA)","City proper","Estimate - de jure","Final figure, complete","2014","106278","1,2"
"United States of America","2012","Total","Both Sexes","Oakland (CA)","City proper","Estimate - de jure","Final figure, complete","2014","400740","1,2"
"United States of America","2012","Total","Both Sexes","Oceanside (CA)","City proper","Estimate - de jure","Final figure, complete","2014","171293","1,2"
"United States of America","2012","Total","Both Sexes","Odessa (TX)","City proper","Estimate - de jure","Final figure, complete","2014","106102","1,2"
"United States of America","2012","Total","Both Sexes","Oklahoma City (OK)","City proper","Estimate - de jure","Final figure, complete","2014","599199","1,2"
"United States of America","2012","Total","Both Sexes","Olathe (KS)","City proper","Estimate - de jure","Final figure, complete","2014","130045","1,2"
"United States of America","2012","Total","Both Sexes","Omaha (NE)","City proper","Estimate - de jure","Final figure, complete","2014","421570","1,2"
"United States of America","2012","Total","Both Sexes","Ontario (CA)","City proper","Estimate - de jure","Final figure, complete","2014","167211","1,2"
"United States of America","2012","Total","Both Sexes","Orange (CA)","City proper","Estimate - de jure","Final figure, complete","2014","139419","1,2"
"United States of America","2012","Total","Both Sexes","Orlando (FL)","City proper","Estimate - de jure","Final figure, complete","2014","249562","1,2"
"United States of America","2012","Total","Both Sexes","Overland Park (KS)","City proper","Estimate - de jure","Final figure, complete","2014","178919","1,2"
"United States of America","2012","Total","Both Sexes","Oxnard (CA)","City proper","Estimate - de jure","Final figure, complete","2014","201555","1,2"
"United States of America","2012","Total","Both Sexes","Palmdale (CA)","City proper","Estimate - de jure","Final figure, complete","2014","155650","1,2"
"United States of America","2012","Total","Both Sexes","Palm Bay City (FL)","City proper","Estimate - de jure","Final figure, complete","2014","104124","1,2"
"United States of America","2012","Total","Both Sexes","Pasadena (CA)","City proper","Estimate - de jure","Final figure, complete","2014","138547","1,2"
"United States of America","2012","Total","Both Sexes","Pasadena (TX)","City proper","Estimate - de jure","Final figure, complete","2014","152272","1,2"
"United States of America","2012","Total","Both Sexes","Paterson (NJ)","City proper","Estimate - de jure","Final figure, complete","2014","145219","1,2"
"United States of America","2012","Total","Both Sexes","Pembroke Pines (FL)","City proper","Estimate - de jure","Final figure, complete","2014","160306","1,2"
"United States of America","2012","Total","Both Sexes","Peoria (AZ)","City proper","Estimate - de jure","Final figure, complete","2014","159789","1,2"
"United States of America","2012","Total","Both Sexes","Peoria (IL)","City proper","Estimate - de jure","Final figure, complete","2014","115687","1,2"
"United States of America","2012","Total","Both Sexes","Philadelphia (PA)","City proper","Estimate - de jure","Final figure, complete","2014","1547607","1,2"
"United States of America","2012","Total","Both Sexes","Phoenix (AZ)","City proper","Estimate - de jure","Final figure, complete","2014","1488750","1,2"
"United States of America","2012","Total","Both Sexes","Pittsburgh (PA)","City proper","Estimate - de jure","Final figure, complete","2014","306211","1,2"
"United States of America","2012","Total","Both Sexes","Plano (TX)","City proper","Estimate - de jure","Final figure, complete","2014","272068","1,2"
"United States of America","2012","Total","Both Sexes","Pomona (CA)","City proper","Estimate - de jure","Final figure, complete","2014","150812","1,2"
"United States of America","2012","Total","Both Sexes","Pompano Beach (FL)","City proper","Estimate - de jure","Final figure, complete","2014","102984","1,2"
"United States of America","2012","Total","Both Sexes","Port St. Lucie (FL)","City proper","Estimate - de jure","Final figure, complete","2014","168716","1,2"
"United States of America","2012","Total","Both Sexes","Portland (OR)","City proper","Estimate - de jure","Final figure, complete","2014","603106","1,2"
"United States of America","2012","Total","Both Sexes","Providence (RI)","City proper","Estimate - de jure","Final figure, complete","2014","178432","1,2"
"United States of America","2012","Total","Both Sexes","Provo (UT)","City proper","Estimate - de jure","Final figure, complete","2014","115919","1,2"
"United States of America","2012","Total","Both Sexes","Pueblo (CO)","City proper","Estimate - de jure","Final figure, complete","2014","107772","1,2"
"United States of America","2012","Total","Both Sexes","Raleigh (NC)","City proper","Estimate - de jure","Final figure, complete","2014","423179","1,2"
"United States of America","2012","Total","Both Sexes","Rancho Cucamonga (CA)","City proper","Estimate - de jure","Final figure, complete","2014","170746","1,2"
"United States of America","2012","Total","Both Sexes","Reno (NV)","City proper","Estimate - de jure","Final figure, complete","2014","231027","1,2"
"United States of America","2012","Total","Both Sexes","Rialto (CA)","City proper","Estimate - de jure","Final figure, complete","2014","101740","1,2"
"United States of America","2012","Total","Both Sexes","Richardson (TX)","City proper","Estimate - de jure","Final figure, complete","2014","103297","1,2"
"United States of America","2012","Total","Both Sexes","Richmond (CA)","City proper","Estimate - de jure","Final figure, complete","2014","106516","1,2"
"United States of America","2012","Total","Both Sexes","Richmond (VA)","City proper","Estimate - de jure","Final figure, complete","2014","210309","1,2"
"United States of America","2012","Total","Both Sexes","Riverside (CA)","City proper","Estimate - de jure","Final figure, complete","2014","313673","1,2"
"United States of America","2012","Total","Both Sexes","Rochester (MN)","City proper","Estimate - de jure","Final figure, complete","2014","108992","1,2"
"United States of America","2012","Total","Both Sexes","Rochester (NY)","City proper","Estimate - de jure","Final figure, complete","2014","210532","1,2"
"United States of America","2012","Total","Both Sexes","Rockford (IL)","City proper","Estimate - de jure","Final figure, complete","2014","150843","1,2"
"United States of America","2012","Total","Both Sexes","Roseville (CA)","City proper","Estimate - de jure","Final figure, complete","2014","124519","1,2"
"United States of America","2012","Total","Both Sexes","Round Rock (TX)","City proper","Estimate - de jure","Final figure, complete","2014","106573","1,2"
"United States of America","2012","Total","Both Sexes","Sacramento (CA)","City proper","Estimate - de jure","Final figure, complete","2014","475516","1,2"
"United States of America","2012","Total","Both Sexes","Salem (OR)","City proper","Estimate - de jure","Final figure, complete","2014","157429","1,2"
"United States of America","2012","Total","Both Sexes","Salinas (CA)","City proper","Estimate - de jure","Final figure, complete","2014","154484","1,2"
"United States of America","2012","Total","Both Sexes","Salt Lake City (UT)","City proper","Estimate - de jure","Final figure, complete","2014","189314","1,2"
"United States of America","2012","Total","Both Sexes","San Antonio (TX)","City proper","Estimate - de jure","Final figure, complete","2014","1382951","1,2"
"United States of America","2012","Total","Both Sexes","San Bernardino (CA)","City proper","Estimate - de jure","Final figure, complete","2014","213295","1,2"
"United States of America","2012","Total","Both Sexes","San Buenaventura (CA)","City proper","Estimate - de jure","Final figure, complete","2014","107734","1,2"
"United States of America","2012","Total","Both Sexes","San Diego (CA)","City proper","Estimate - de jure","Final figure, complete","2014","1338348","1,2"
"United States of America","2012","Total","Both Sexes","San Francisco (CA)","City proper","Estimate - de jure","Final figure, complete","2014","825863","1,2"
"United States of America","2012","Total","Both Sexes","San Jose (CA)","City proper","Estimate - de jure","Final figure, complete","2014","982765","1,2"
"United States of America","2012","Total","Both Sexes","Santa Ana (CA)","City proper","Estimate - de jure","Final figure, complete","2014","330920","1,2"
